geom,value,id
POINT(-1.432776503 51.6914115821),605000,325081
POINT(-0.9703647336 51.7465179946),361500,343934
POINT(-1.1578970273 51.5704900493),361250,344771
POINT(-1.5969358478 51.7710964296),307500,346506
POINT(-1.2927552191 51.749447702),468000,348549
POINT(-1.2640643012 51.7812001655),940000,352928
POINT(-1.3117879779 51.7038031676),372500,357760
POINT(-1.2391616682 51.7673028979),800000,364399
POINT(-1.6013218047 51.7684049953),399408,371136
POINT(-1.6024004284 51.7693437447),226908,371154
POINT(-1.2826356769 51.6923716626),512000,374276
POINT(-1.3638667364 52.0655595474),240000,374458
POINT(-1.138994291 51.8952781714),240000,382115
POINT(-1.212408302 51.6365071796),317500,386451
POINT(-1.2278926968 51.7669776873),383000,391078
POINT(-1.3191280369 52.1162699959),680000,393748
POINT(-0.9852941038 51.5161997265),620000,396742
POINT(-1.2243839904 51.6129658043),212000,400190
POINT(-1.3461776944 51.7063641723),690000,403756
POINT(-1.1811191182 51.8955968824),570995,416505
POINT(-1.3096754038 51.6409669069),255000,416721
POINT(-1.2764694477 51.6780373589),614950,417185
POINT(-1.3424662939 52.0566129312),327000,419483
POINT(-0.9660754034 51.4783467182),605000,425385
POINT(-1.1972965973 51.7508758697),377500,425658
POINT(-1.2049128614 51.7585074137),580000,439331
